original_comments,tokenized_comments,clean_text
ညီမတစ်ခုလောက်မေးစရာရှိလိုရှင် facial makeကပ်ပြီးရင်လေ မျက်နှာမသစ်ဘဲနဲ့ suncream လိမ်း makeupလိမ်းလိူရလာရှင် သိရင်ဖြေပေးကြပါလာရှင်,"['ညီ', 'မ', 'တစ်', 'ခု', 'လောက်', 'မေး', 'စရာ', 'ရှိ', 'လို', 'ရှင်', 'facial', 'make', 'ကပ်', 'ပြီး', 'ရင်', 'လေ', 'မျက်နှာ', 'မ', 'သစ်', 'ဘဲ', 'နဲ့', 'sun', 'cream', 'လိမ်း', 'makeup', 'လိမ်း', 'လ', 'ိူ', 'ရ', 'လာ', 'ရှင်', 'သိ', 'ရင်', 'ဖြေ', 'ပေး', 'ကြ', 'ပါ', 'လာ', 'ရှင်']","['ညီ', 'မ', 'လောက်', 'မေး', 'စရာ', 'ရှင်', 'facial', 'make', 'ကပ်', 'မျက်နှာ', 'မ', 'သစ်', 'ဘဲ', 'sun', 'cream', 'လိမ်း', 'makeup', 'လိမ်း', 'လ', 'ိူ', 'ရှင်', 'သိ', 'ဖြေ', 'ရှင်']"
kiss proofသိမှပြော,"['kissproof', 'သိ', 'မှ', 'ပြော']","['kissproof', 'သိ']"
ဒီအရောင်လေးဆိုနံပါတ်ဘယ်လောက်ဝယ်ရမလဲရှင့်,"['ဒီ', 'အရောင်', 'လေး', 'ဆို', 'နံပါတ်', 'ဘယ်လောက်', 'ဝယ်', 'ရ', 'မ', 'လဲ', 'ရှင့်']","['အရောင်', 'နံပါတ်', 'ဘယ်လောက်', 'ဝယ်', 'မ', 'ရှင့်']"
ဘယ်မှာဝယ်လို့လဲ,"['ဘယ်', 'မှာ', 'ဝယ်', 'လို့', 'လဲ']","['ဘယ်', 'ဝယ်', 'လို့']"
လက်ရှိသုံးနေတာ blur fudge tint လေး,"['လက်', 'ရှိ', 'သုံး', 'နေ', 'တာ', 'blurfudgetint', 'လေး']","['လက်', 'သုံး', 'blurfudgetint']"
ဒီလိုအရောင်နဲ့ဆင်တာရော အဲ့တံဆိပ်ထဲမှာရှိလားရှင့်,"['ဒီ', 'လို', 'အရောင်', 'နဲ့', 'ဆင်', 'တာ', 'ရော', 'အဲ့', 'တံဆိပ်', 'ထဲ', 'မှာ', 'ရှိ', 'လား', 'ရှင့်']","['အရောင်', 'ဆင်', 'ရော', 'အဲ့', 'တံဆိပ်', 'ရှင့်']"
အရောင်လေးတွေတကယ်လှတယ်,"['အရောင်', 'လေး', 'တွေ', 'တကယ်', 'လှ', 'တယ်']","['အရောင်', 'တကယ်', 'လှ']"
18/19/23အဆင်​ပြေလားရှင့် ညီမကအသားတော့ဖြူတယ်lipstickတွေအရင်ကတစ်ချောင်းမှမဝယ်ဆိုးခဲ့ဘူး အရောင်လေးတွေတအားလှတော့ စမ်းဝယ်ထားတယ် ၃ချောင်း ဟီးဟီး,"['18/19/23', 'အဆင်\u200bပြေ', 'လား', 'ရှင့်', 'ညီ', 'မ', 'က', 'အသား', 'တော့', 'ဖြူ', 'တယ်', 'lip', 'stick', 'တွေ', 'အရင်', 'က', 'တစ်', 'ချောင်း', 'မှ', 'မ', 'ဝယ်', 'ဆိုး', 'ခဲ့', 'ဘူး', 'အရောင်', 'လေး', 'တွေ', 'တအား', 'လှ', 'တော့', 'စမ်း', 'ဝယ်', 'ထား', 'တယ်', '၃', 'ချောင်း', 'ဟီးဟီး']","['18/19/23', 'အဆင်ပြေ', 'ညီ', 'မ', 'အသား', 'ဖြူ', 'lip', 'stick', 'အရင်', 'ချောင်း', 'မ', 'ဝယ်', 'ဆိုး', 'အရောင်', 'တအား', 'လှ', 'စမ်း', 'ဝယ်', '၃', 'ချောင်း', 'ဟီးဟီး']"
Swatches လေးတွေ ပြပေးပါလားရှင့်,"['Swatches', 'လေး', 'တွေ', 'ပြ', 'ပေး', 'ပါ', 'လား', 'ရှင့်']","['Swatches', 'ပြ']"
ရောင်စုံဝယ်ထားသောမိမိ,"['ရောင်စုံ', 'ဝယ်', 'ထား', 'သော', 'မိမိ']","['ရောင်စုံ', 'ဝယ်', 'မိမိ']"
ဘယ် pageကဝယ်တာလဲရှင့်,"['ဘယ်', 'page', 'က', 'ဝယ်', 'တာ', 'လဲ', 'ရှင့်']","['ဘယ်', 'page', 'ဝယ်', 'ရှင့်']"
ဖတ်ရင်းအများကြီးတောင်လိုချင်သွားတယ် ဘယ်လောက်ရှိလဲဟင်,"['ဖတ်', 'ရင်း', 'အများကြီး', 'တောင်', 'လို', 'ချင်', 'သွား', 'တယ်', 'ဘယ်လောက်', 'ရှိ', 'လဲ', 'ဟင်']","['ဖတ်', 'ရင်း', 'အများကြီး', 'တောင်', 'ဘယ်လောက်']"
Romand က တကယ်တချောင်းပီးတချောင်းထပ်ဝယ်ချင်နေသောနော်  loreal ကဈေးတက်လာလို့ဆိုပီး သူ့ဘက်လှည့်လိုက်တာ မှန်သွားတယ်,"['Rom', 'and', 'က', 'တကယ်', 'တ', 'ချောင်း', 'ပီး', 'တ', 'ချောင်း', 'ထပ်', 'ဝယ်', 'ချင်', 'နေ', 'သော', 'နော်', 'loreal', 'က', 'ဈေး', 'တက်', 'လာ', 'လို့', 'ဆို', 'ပီး', 'သူ့', 'ဘက်', 'လှည့်', 'လိုက်', 'တာ', 'မှန်', 'သွား', 'တယ်']","['Rom', 'and', 'တကယ်', 'တ', 'ချောင်း', 'ပီး', 'တ', 'ချောင်း', 'ထပ်', 'ဝယ်', 'loreal', 'ဈေး', 'တက်', 'လို့', 'ပီး', 'သူ့', 'ဘက်', 'လှည့်', 'မှန်']"
Kiss proof ဖြစ်မဖြစ်သိချင်သူများ  : လုံးဝမဖြစ်ပါနော်,"['Kissproof', 'ဖြစ်', 'မ', 'ဖြစ်', 'သိ', 'ချင်', 'သူ', 'များ', ':', 'လုံးဝ', 'မ', 'ဖြစ်', 'ပါ', 'နော်']","['Kissproof', 'မ', 'သိ', 'လုံးဝ', 'မ']"
Morning routine မှာသုံးလား ညီမတော့ morning routine မှာသူ့ထည့်သုံးပြီး suncream လိုက်တာ အဖုလေးတေထချင်သလိုလို ဖြစ်နေတာ suncream မလိုက်ရင် ဘာမှ မဖြစ်ဘူး,"['Morning', 'routine', 'မှာ', 'သုံး', 'လား', 'ညီ', 'မ', 'တော့', 'morning', 'routine', 'မှာ', 'သူ့', 'ထည့်', 'သုံး', 'ပြီး', 'sun', 'cream', 'လိုက်', 'တာ', 'အဖု', 'လေး', 'တေ', 'ထ', 'ချင်', 'သလို', 'လို', 'ဖြစ်', 'နေ', 'တာ', 'sun', 'cream', 'မ', 'လိုက်', 'ရင်', 'ဘာ', 'မှ', 'မ', 'ဖြစ်', 'ဘူး']","['Morning', 'routine', 'သုံး', 'ညီ', 'မ', 'morning', 'routine', 'သူ့', 'ထည့်', 'သုံး', 'sun', 'cream', 'အဖု', 'တေ', 'ထ', 'သလို', 'sun', 'cream', 'မ', 'မ']"
စစသုံးချင်အဖုတွေကန်ထွက်လား ညီမသုံးတာနှဖူးမှယအဖုလေးတွေထွက်လာလို့သိရင်ပြောပြကြပါအုံး,"['စ', 'စ', 'သုံး', 'ချင်', 'အဖု', 'တွေ', 'ကန်', 'ထွက်', 'လား', 'ညီ', 'မ', 'သုံး', 'တာ', 'နှဖူး', 'မှ', 'ယ', 'အဖု', 'လေး', 'တွေ', 'ထွက်', 'လာ', 'လို့', 'သိ', 'ရင်', 'ပြော', 'ပြ', 'ကြ', 'ပါ', 'အုံး']","['စ', 'စ', 'သုံး', 'အဖု', 'ကန်', 'ထွက်', 'ညီ', 'မ', 'သုံး', 'နှဖူး', 'ယ', 'အဖု', 'ထွက်', 'လို့', 'သိ', 'ပြ', 'အုံး']"
တကယ်ကောင်းတာ,"['တကယ်', 'ကောင်း', 'တာ']","['တကယ်', 'ကောင်း']"
Up,['Up'],['Up']
ရှယ်ကောင်းတာ,"['ရှယ်', 'ကောင်း', 'တာ']","['ရှယ်', 'ကောင်း']"
cleanser နဲ့ toner ဘာသုံးလဲ,"['cleanser', 'နဲ့', 'toner', 'ဘာ', 'သုံး', 'လဲ']","['cleanser', 'toner', 'သုံး']"
ဈေးကများသွားပြီ,"['ဈေး', 'က', 'များ', 'သွား', 'ပြီ']",['ဈေး']
အရမ်းကြိုက်သောပဲ,"['အရမ်း', 'ကြိုက်', 'သော', 'ပဲ']",['ကြိုက်']
Dr.G moisturizer နဲ့ တွဲ သုံးလို့ရလား,"['Dr.', 'G', 'moisturizer', 'နဲ့', 'တွဲ', 'သုံး', 'လို့', 'ရ', 'လား']","['Dr', 'G', 'moisturizer', 'တွဲ', 'သုံး', 'လို့']"
အဆီဖု သက်သာလားbro,"['အဆီဖု', 'သက်သာ', 'လား', 'bro']","['အဆီဖု', 'သက်သာ', 'bro']"
တကယ်ကောင်းတယ်စျေးတွေတက်သွားလို့မသုံးနိုင်တော့တာလေးတခုပဲ,"['တကယ်', 'ကောင်း', 'တယ်', 'စျေး', 'တွေ', 'တက်', 'သွား', 'လို့', 'မ', 'သုံး', 'နိုင်', 'တော့', 'တာ', 'လေး', 'တခု', 'ပဲ']","['တကယ်', 'ကောင်း', 'စျေး', 'တက်', 'လို့', 'မ', 'သုံး', 'တခု']"
အသွားလာများ breakout ဖြစ်ပြီးအမဲစက်တွေကျန်နေလို့သုံးရင်ကောင်းလား oily skin,"['အ', 'သွား', 'လာ', 'များ', 'breakout', 'ဖြစ်', 'ပြီး', 'အမဲစက်', 'တွေ', 'ကျန်', 'နေ', 'လို့', 'သုံး', 'ရင်', 'ကောင်း', 'လား', 'oily', 'skin']","['အ', 'breakout', 'အမဲစက်', 'ကျန်', 'လို့', 'သုံး', 'ကောင်း', 'oily', 'skin']"
Snailကအဆီပြန်တယ်ပြောကြလို့ဟုတ်လား,"['Snail', 'က', 'အဆီ', 'ပြန်', 'တယ်', 'ပြော', 'ကြ', 'လို့', 'ဟုတ်', 'လား']","['Snail', 'အဆီ', 'လို့']"
Some by mi snail truecica ကိုဝယ်မိသွားတယ်,"['Som', 'ebymisnailtruecica', 'ကို', 'ဝယ်', 'မိ', 'သွား', 'တယ်']","['Som', 'ebymisnailtruecica', 'ဝယ်']"
အဲ့တာကဘယ်အဆင့်မှာသုံးရမှာလည်းဟင်ဝယ်သုံးချင်လို့မသိလို့ပါ,"['အဲ့', 'တာ', 'က', 'ဘယ်', 'အဆင့်', 'မှာ', 'သုံး', 'ရ', 'မှာ', 'လည်း', 'ဟင်', 'ဝယ်', 'သုံး', 'ချင်', 'လို့', 'မ', 'သိ', 'လို့', 'ပါ']","['အဲ့', 'ဘယ်', 'အဆင့်', 'သုံး', 'ဝယ်', 'သုံး', 'လို့', 'မ', 'သိ', 'လို့']"
Snailနဲ့တည့်မတည့်ဘယ်လိုစမ်းရင်သိနိုင်မလဲရှင့်,"['Snail', 'နဲ့', 'တည့်', 'မ', 'တည့်', 'ဘယ်လို', 'စမ်း', 'ရင်', 'သိ', 'နိုင်', 'မ', 'လဲ', 'ရှင့်']","['Snail', 'တည့်', 'မ', 'တည့်', 'ဘယ်လို', 'စမ်း', 'သိ', 'မ']"
ဝက်ခြံ အဆီဖုသမားတွေရောသုံးလို့ရလား,"['ဝက်ခြံ', 'အဆီဖု', 'သမား', 'တွေ', 'ရော', 'သုံး', 'လို့', 'ရ', 'လား']","['ဝက်ခြံ', 'အဆီဖု', 'သမား', 'ရော', 'သုံး', 'လို့']"
တကယ်ကောင်းတာ တကယ်လဲအရင်ကတွေ့ပြီးမဝယ်ခဲ့အချိန်တွေနှမျောတာ ဆိုတာလေ,"['တကယ်', 'ကောင်း', 'တာ', 'တကယ်', 'လဲ', 'အရင်', 'က', 'တွေ့', 'ပြီး', 'မ', 'ဝယ်', 'ခဲ့', 'အချိန်', 'တွေ', 'နှမျော', 'တာ', 'ဆို', 'တာ', 'လေ']","['တကယ်', 'ကောင်း', 'တကယ်', 'အရင်', 'တွေ့', 'မ', 'ဝယ်', 'အချိန်', 'နှမျော']"
ဘယ်ကဝယ်တာလဲဟင်,"['ဘယ်', 'က', 'ဝယ်', 'တာ', 'လဲ', 'ဟင်']","['ဘယ်', 'ဝယ်']"
ခရုကလေ စားမိတာ allergic တော်တော်ပြင်းပြင်းဖြစ်ဖူးတယ် အဲ့လိုမျိုးဆိုရင်ရောမတည့်ဖူးလားဟင်,"['ခရု', 'က', 'လေ', 'စား', 'မိ', 'တာ', 'allergic', 'တော်တော်', 'ပြင်းပြင်း', 'ဖြစ်', 'ဖူး', 'တယ်', 'အဲ့လို', 'မျိုး', 'ဆို', 'ရင်', 'ရော', 'မ', 'တည့်', 'ဖူး', 'လား', 'ဟင်']","['ခရု', 'စား', 'allergic', 'တော်တော်', 'ပြင်းပြင်း', 'ဖူး', 'အဲ့လို', 'မျိုး', 'ရော', 'မ', 'တည့်', 'ဖူး']"
Good reviews များတယ်နော်,"['Good', 'review', 's', 'များ', 'တယ်', 'နော်']","['Good', 'review', 's']"
အဲ့ဒါလေးက၁၈နှစ်သုံးလိူ့ရလားရှင့်,"['အဲ့ဒါ', 'လေး', 'က', '၁၈', 'နှစ်', 'သုံး', 'လိူ့', 'ရ', 'လား', 'ရှင့်']","['အဲ့ဒါ', '၁၈', 'သုံး', 'လိူ့']"
Breakout တေဖစ် အသားရည်တေ ညစ်ကျန်ခဲ့တာ ဒါလေးက သုံးလို့အဆင်ပြေလေားရှင့်,"['Breakoutတေဖစ်', 'အသားရည်', 'တေ', 'ညစ်', 'ကျန်', 'ခဲ့', 'တာ', 'ဒါ', 'လေး', 'က', 'သုံး', 'လို့', 'အဆင်ပြေ', 'လေ', 'ား', 'ရှင့်']","['Breakout', 'တေဖစ်', 'အသားရည်', 'တေ', 'ညစ်', 'ကျန်', 'ဒါ', 'သုံး', 'လို့', 'အဆင်ပြေ', 'ား']"
ကောင်လေးအတွက်ပါ Normal skin ပါမျက်နှာအသားအရေလေးလင်းစေချင်တာပါ...skin problem ဘာမှ မရှိပါဘူး...ညွှန်းပေးကြပါဦးနော်,"['ကောင်', 'လေး', 'အတွက်', 'ပါ', 'Normal', 'skin', 'ပါ', 'မျက်နှာ', 'အသားအရေ', 'လေး', 'လင်း', 'စေ', 'ချင်', 'တာ', 'ပါ', '...', 'skin', 'problem', 'ဘာ', 'မှ', 'မ', 'ရှိ', 'ပါ', 'ဘူး', '...', 'ညွှန်း', 'ပေး', 'ကြ', 'ပါ', 'ဦး', 'နော်']","['ကောင်', 'Normal', 'skin', 'မျက်နှာ', 'အသားအရေ', 'လင်း', 'skin', 'problem', 'မ', 'ညွှန်း', 'ဦး']"
တကယ်တကယ်ကိုကောင်းတာ ရှယ်ပဲ ၊ ကိုယ့်မျက်နှာကိုယ်ကြည့်ပြီး ချစ်ရတဲ့အလုပ်တစ်ခုတိုးလာတယ်,"['တကယ်', 'တကယ်', 'ကို', 'ကောင်း', 'တာ', 'ရှယ်', 'ပဲ', '၊', 'ကိုယ့်', 'မျက်နှာ', 'ကိုယ်', 'ကြည့်', 'ပြီး', 'ချစ်', 'ရ', 'တဲ့', 'အလုပ်', 'တစ်', 'ခု', 'တိုး', 'လာ', 'တယ်']","['တကယ်', 'တကယ်', 'ကောင်း', 'ရှယ်', '၊', 'ကိုယ့်', 'မျက်နှာ', 'ကိုယ်', 'ကြည့်', 'ချစ်', 'အလုပ်', 'တိုး']"
ခုသုံးနေတာပါ..သူ့ကို Carenel serumနဲ့တွဲလူးတာ..လူးနေရင်းအဖက်လိုအလိပ်လေးတွေထွက်ထွက်လာတာ...အက်တာပုံမှန်ပဲလားရှင့်,"['ခု', 'သုံး', 'နေ', 'တာ', 'ပါ', '..', 'သူ့', 'ကို', 'Carenel', 'serum', 'နဲ့', 'တွဲ', 'လူး', 'တာ', '..', 'လူး', 'နေ', 'ရင်း', 'အဖက်', 'လို', 'အလိပ်', 'လေး', 'တွေ', 'ထွက်', 'ထွက်', 'လာ', 'တာ', '...', 'အက်', 'တာ', 'ပုံမှန်', 'ပဲ', 'လား', 'ရှင့်']","['သုံး', 'သူ့', 'Carenel', 'serum', 'တွဲ', 'လူး', 'လူး', 'ရင်း', 'အဖက်', 'အလိပ်', 'ထွက်', 'ထွက်', 'အက်', 'ပုံမှန်', 'ရှင့်']"
ဝယ္ခ်င္ေပးမ‌ဲ့ ေဈးအရမ္းႀကိး,"['ဝယ္ခ်င္ေပးမ\u200cဲ့ေဈးအ', 'ရ', 'မ', '္းႀကိး']","['ဝယ္ခ်င္ေပးမဲ့ေဈးအ', 'မ', '္းႀကိး']"
AHA BHA ပါတဲ့တိုနာနဲ့တွဲသုံးလို့ရလား,"['AHABHA', 'ပါ', 'တဲ့', 'တိုနာ', 'နဲ့', 'တွဲ', 'သုံး', 'လို့', 'ရ', 'လား']","['AHABHA', 'တိုနာ', 'တွဲ', 'သုံး', 'လို့']"
သူရဲ့ allinone cream လေးနဲ့ တွဲသုံးကြည့်ပါ,"['သူ', 'ရဲ့', 'all', 'in', 'one', 'cream', 'လေး', 'နဲ့', 'တွဲ', 'သုံး', 'ကြည့်', 'ပါ']","['all', 'in', 'one', 'cream', 'တွဲ', 'သုံး', 'ကြည့်']"
၀ယ်ပီးလိမ်းတာမတည့်လို့အဆီဖုတွေတန်းစီးးထတယ်ရှင်းး,"['၀ယ်ပီး', 'လိမ်း', 'တာ', 'မ', 'တည့်', 'လို့', 'အဆီဖု', 'တွေ', 'တန်း', 'စီး', 'းထ', 'တယ်', 'ရှင်း', 'း']","['၀ယ်ပီး', 'လိမ်း', 'မ', 'တည့်', 'လို့', 'အဆီဖု', 'တန်း', 'စီး', 'းထ', 'ရှင်း', 'း']"
အသားအရည်လေးက ကြွေလေးလိုပဲ ကွဲသွားရင် ရှမယ့်ပုံလေး,"['အသားအရည်', 'လေး', 'က', 'ကြွေ', 'လေး', 'လို', 'ပဲ', 'ကွဲ', 'သွား', 'ရင်', 'ရှ', 'မယ့်', 'ပုံ', 'လေး']","['အသားအရည်', 'ကြွေ', 'ကွဲ', 'ရှ', 'မယ့်', 'ပုံ']"
အဆီပြန် သမားလိမ်းရင် အဆင်ပြေနိုင်လား,"['အဆီ', 'ပြန်', 'သမား', 'လိမ်း', 'ရင်', 'အဆင်ပြေ', 'နိုင်', 'လား']","['အဆီ', 'သမား', 'လိမ်း', 'အဆင်ပြေ']"
နှရက်ပဲရှိသေးတကယ်ကောင်း တsetလုံးသုံးဖို့တောင်တွေးထားတယ်အရမ်းကြိုကသော dry သမားတွေပိုကောင်းမယ်ထင်တယ်,"['နှ', 'ရက်', 'ပဲ', 'ရှိ', 'သေး', 'တကယ်', 'ကောင်း', 'တ', 'set', 'လုံး', 'သုံး', 'ဖို့', 'တောင်', 'တွေး', 'ထား', 'တယ်', 'အရမ်း', 'ကြို', 'က', 'သော', 'dry', 'သမား', 'တွေ', 'ပို', 'ကောင်း', 'မယ်', 'ထင်', 'တယ်']","['နှ', 'ရက်', 'တကယ်', 'ကောင်း', 'တ', 'set', 'လုံး', 'သုံး', 'တောင်', 'တွေး', 'ကြို', 'dry', 'သမား', 'ပို', 'ကောင်း', 'ထင်']"
ဒီserum လေးသုံးနေတာ တွဲသုံးလို့အဆင်နိုင်လားရှငိ့,"['ဒီ', 'serum', 'လေး', 'သုံး', 'နေ', 'တာ', 'တွဲ', 'သုံး', 'လို့', 'အဆင်', 'နိုင်', 'လား', 'ရ', 'ှငိ့']","['serum', 'သုံး', 'တွဲ', 'သုံး', 'လို့', 'အဆင်', 'ှငိ့']"
တအားအဆီပြန်တဲ့သူတွေရော..သုံးသင့်ပါ့မလား..,"['တအား', 'အဆီ', 'ပြန်', 'တဲ့', 'သူ', 'တွေ', 'ရော', '..', 'သုံး', 'သင့်', 'ပါ့', 'မ', 'လား', '..']","['တအား', 'အဆီ', 'ရော', 'သုံး', 'သင့်', 'ပါ့', 'မ']"
Life က Primer လေးကောင်းတယ် customer သုံးပေးတာ တော်တော်အဆင်ပြေတယ် ကိုယ်တိုင်လဲသုံးတယ် 25000ဝန်းကျင်ဘဲ,"['Life', 'က', 'Primer', 'လေး', 'ကောင်း', 'တယ်', 'customer', 'သုံး', 'ပေး', 'တာ', 'တော်တော်', 'အဆင်ပြေ', 'တယ်', 'ကိုယ်တိုင်', 'လဲ', 'သုံး', 'တယ်', '2', '5000', 'ဝန်းကျင်', 'ဘဲ']","['Life', 'Primer', 'ကောင်း', 'customer', 'သုံး', 'တော်တော်', 'အဆင်ပြေ', 'ကိုယ်တိုင်', 'သုံး', '2', '5000', 'ဝန်းကျင်', 'ဘဲ']"
Catrice Primerမှာရှိတယ် skintypeအလိုက် ချွေးပေါက်ကျယ်တယ်အဆီပြန်တယ်ဆိုပန်းရောင်လေးတော်တော်ကောင်းပါတယ် မိတ်ကပ်လည်းမကွက်ဘူး မိတ်ကပ်တော်တော်လေးခံတယ်,"['Catrice', 'Primer', 'မှာ', 'ရှိ', 'တယ်', 'skintypeအ', 'လိုက်', 'ချွေးပေါက်', 'ကျယ်', 'တယ်', 'အဆီ', 'ပြန်', 'တယ်', 'ဆို', 'ပန်းရောင်', 'လေး', 'တော်တော်', 'ကောင်း', 'ပါ', 'တယ်', 'မိတ်ကပ်', 'လည်း', 'မ', 'ကွက်', 'ဘူး', 'မိတ်ကပ်', 'တော်တော်', 'လေး', 'ခံ', 'တယ်']","['Catrice', 'Primer', 'skintype', 'အ', 'ချွေးပေါက်', 'ကျယ်', 'အဆီ', 'ပန်းရောင်', 'တော်တော်', 'ကောင်း', 'မိတ်ကပ်', 'မ', 'ကွက်', 'မိတ်ကပ်', 'တော်တော်', 'ခံ']"
YSL primer သုံးနော် အရမ်းမိုက်တယ် ရွှေမှုန်လေးတွေပါတော့ အသားပါတစ်ဆင့်လင်းတယ် ချွေးပေါက်တအားကျယ်တဲ့သူသုံးတာတောင် လိမ်းပြီးတာနဲ့ ဖုံဖုံလေးဖြစ်သွားပြီး foundation လိမ်းလိုက်တာနဲ့ အရမ်းသိသာတယ် ကွက်လည်းမကွက်တော့သလို coverage အားကောင်းတဲ့ foundation သုံးရင် ချွေးပေါက်တွေပါ ဖုံးနိုင်ပါတယ်,"['YSL', 'primer', 'သုံး', 'နော်', 'အရမ်း', 'မိုက်', 'တယ်', 'ရွှေမှုန်', 'လေး', 'တွေ', 'ပါ', 'တော့', 'အသား', 'ပါ', 'တစ်ဆင့်', 'လင်း', 'တယ်', 'ချွေးပေါက်', 'တအား', 'ကျယ်', 'တဲ့', 'သူ', 'သုံး', 'တာ', 'တောင်', 'လိမ်း', 'ပြီး', 'တာ', 'နဲ့', 'ဖုံ', 'ဖုံ', 'လေး', 'ဖြစ်', 'သွား', 'ပြီး', 'foundation', 'လိမ်း', 'လိုက်', 'တာ', 'နဲ့', 'အရမ်း', 'သိ', 'သာ', 'တယ်', 'ကွက်', 'လည်း', 'မ', 'ကွက်', 'တော့', 'သလို', 'coverage', 'အား', 'ကောင်း', 'တဲ့', 'foundation', 'သုံး', 'ရင်', 'ချွေးပေါက်', 'တွေ', 'ပါ', 'ဖုံး', 'နိုင်', 'ပါ', 'တယ်']","['YSL', 'primer', 'သုံး', 'မိုက်', 'ရွှေမှုန်', 'အသား', 'တစ်ဆင့်', 'လင်း', 'ချွေးပေါက်', 'တအား', 'ကျယ်', 'သုံး', 'တောင်', 'လိမ်း', 'ဖုံ', 'ဖုံ', 'foundation', 'လိမ်း', 'သိ', 'သာ', 'ကွက်', 'မ', 'ကွက်', 'သလို', 'coverage', 'အား', 'ကောင်း', 'foundation', 'သုံး', 'ချွေးပေါက်', 'ဖုံး']"
Life ကprimer ကောင်းတယ်,"['Life', 'က', 'primer', 'ကောင်း', 'တယ်']","['Life', 'primer', 'ကောင်း']"
KMA Primer ကောင်းတယ်,"['KMA', 'Primer', 'ကောင်း', 'တယ်']","['KMA', 'Primer', 'ကောင်း']"
ဒါလေးတော်တော် အဆင်ပြေတယ်,"['ဒါ', 'လေး', 'တော်တော်', 'အဆင်ပြေ', 'တယ်']","['ဒါ', 'တော်တော်', 'အဆင်ပြေ']"
Primerပါတဲ့ ဒီsuncreamလေးနဲ့ matte type foundation လေးလိမ်းရင် အဆင်ပြေလောက်တယ်,"['Primer', 'ပါ', 'တဲ့', 'ဒီ', 'sun', 'cream', 'လေး', 'နဲ့', 'mattetype', 'foundation', 'လေး', 'လိမ်း', 'ရင်', 'အဆင်ပြေ', 'လောက်', 'တယ်']","['Primer', 'sun', 'cream', 'mattetype', 'foundation', 'လိမ်း', 'အဆင်ပြေ', 'လောက်']"
Smashbox,['Smashbox'],['Smashbox']
Dabo,['Dabo'],['Dabo']
ဒါလေးကောင်း,"['ဒါ', 'လေး', 'ကောင်း']","['ဒါ', 'ကောင်း']"
Catrice,['Catrice'],['Catrice']
Maybelline babyskin အစိမ်းလေး,"['Maybelline', 'baby', 'skin', 'အစိမ်း', 'လေး']","['Maybelline', 'baby', 'skin', 'အစိမ်း']"
သည် primer လေးကောင်းလားဟင်,"['သည်', 'primer', 'လေး', 'ကောင်း', 'လား', 'ဟင်']","['primer', 'ကောင်း']"
Primer ဆို Catriceကို အကြိုက်ဆုံးပဲ,"['Primer', 'ဆို', 'Catrice', 'ကို', 'အကြိုက်ဆုံး', 'ပဲ']","['Primer', 'Catrice', 'အကြိုက်ဆုံး']"
Touch in Soulကprimerသုံးကြည့်ပါ,"['TouchinSoul', 'က', 'primer', 'သုံး', 'ကြည့်', 'ပါ']","['TouchinSoul', 'primer', 'သုံး', 'ကြည့်']"
Touch in solက primer လေးတကယ်ကောင်းတယ် ဘူးသေးသေးလေးစမ်းသုံးကြည့်ထားတာလေး အဆင်ပြေတယ်,"['Touchinsol', 'က', 'primer', 'လေး', 'တကယ်', 'ကောင်း', 'တယ်', 'ဘူး', 'သေး', 'သေး', 'လေး', 'စမ်း', 'သုံး', 'ကြည့်', 'ထား', 'တာ', 'လေး', 'အဆင်ပြေ', 'တယ်']","['Touchinsol', 'primer', 'တကယ်', 'ကောင်း', 'စမ်း', 'သုံး', 'ကြည့်', 'အဆင်ပြေ']"
Kaminomatoကလေ တကယ်ပြန်ပေါက်တယ် အိမ်ကဦးလေး ဆံပင်ထိပ်ကွက်တာ အဲ့တာသုံးတာသိသိသာသာဆံပင်တွေပြန်ထွက်လာတာ ဆံပင်ကျွတ်လဲသက်သာတယ်၊,"['Kaminomato', 'က', 'လေ', 'တကယ်', 'ပြန်', 'ပေါက်', 'တယ်', 'အိမ်', 'က', 'ဦး', 'လေး', 'ဆံပင်', 'ထိပ်', 'ကွက်', 'တာ', 'အဲ့', 'တာ', 'သုံး', 'တာ', 'သိ', 'သိ', 'သာ', 'သာ', 'ဆံပင်', 'တွေ', 'ပြန်', 'ထွက်', 'လာ', 'တာ', 'ဆံပင်', 'ကျွတ်', 'လဲ', 'သက်သာ', 'တယ်', '၊']","['Kaminomato', 'တကယ်', 'ပေါက်', 'အိမ်', 'ဆံပင်', 'ထိပ်', 'ကွက်', 'အဲ့', 'သုံး', 'သိ', 'သိ', 'သာ', 'သာ', 'ဆံပင်', 'ထွက်', 'ဆံပင်', 'ကျွတ်', 'သက်သာ', '၊']"
ဆံပင်ကုန်သွားရင် ကတုံးနဲ့နေလိုက်,"['ဆံပင်', 'ကုန်', 'သွား', 'ရင်', 'က', 'တုံး', 'နဲ့', 'နေ', 'လိုက်']","['ဆံပင်', 'ကုန်', 'တုံး']"
